ko00010	Glycolysis / Gluconeogenesis
ko00020	Citrate cycle (TCA cycle)
ko00030	Pentose phosphate pathway
ko00040	Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism
ko00052	Galactose metabolism
ko00053	Ascorbate and aldarate metabolism
ko00061	Fatty acid biosynthesis
ko00062	Fatty acid elongation in mitochondria
ko00071	Fatty acid metabolism
ko00072	Synthesis and degradation of ketone bodies
ko00100	Steroid biosynthesis
ko00120	Primary bile acid biosynthesis
ko00121	Secondary bile acid biosynthesis
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
ko00140	Steroid hormone biosynthesis
ko00190	Oxidative phosphorylation
ko00195	Photosynthesis
ko00196	Photosynthesis - antenna proteins
ko00230	Purine metabolism
ko00231	Puromycin biosynthesis
ko00232	Caffeine metabolism
ko00240	Pyrimidine metabolism
ko00250	Alanine, aspartate and glutamate metabolism
ko00253	Tetracycline biosynthesis
ko00260	Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism
ko00280	Valine, leucine and isoleucine degradation
ko00281	Geraniol degradation
ko00290	Valine, leucine and isoleucine biosynthesis
ko00300	Lysine biosynthesis
ko00310	Lysine degradation
ko00311	Penicillin and cephalosporin biosynthesis
ko00312	beta-Lactam resistance
ko00330	Arginine and proline metabolism
ko00331	Clavulanic acid biosynthesis
ko00340	Histidine metabolism
ko00350	Tyrosine metabolism
ko00351	DDT degradation
ko00360	Phenylalanine metabolism
ko00361	Chlorocyclohexane and chlorobenzene degradation
ko00362	Benzoate degradation
ko00363	Bisphenol degradation
ko00364	Fluorobenzoate degradation
ko00380	Tryptophan metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00401	Novobiocin biosynthesis
ko00402	Benzoxazinoid biosynthesis
ko00410	beta-Alanine metabolism
ko00430	Taurine and hypotaurine metabolism
ko00440	Phosphonate and phosphinate metabolism
ko00450	Selenocompound metabolism
ko00460	Cyanoamino acid metabolism
ko00471	D-Glutamine and D-glutamate metabolism
ko00472	D-Arginine and D-ornithine metabolism
ko00473	D-Alanine metabolism
ko00480	Glutathione metabolism
ko00500	Starch and sucrose metabolism
ko00510	N-Glycan biosynthesis
ko00511	Other glycan degradation
ko00512	Mucin type O-Glycan biosynthesis
ko00513	Various types of N-glycan biosynthesis
ko00514	Other types of O-glycan biosynthesis
ko00520	Amino sugar and nucleotide sugar metabolism
ko00521	Streptomycin biosynthesis
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides
ko00523	Polyketide sugar unit biosynthesis
ko00524	Butirosin and neomycin biosynthesis
ko00531	Glycosaminoglycan degradation
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate
ko00540	Lipopolysaccharide biosynthesis
ko00550	Peptidoglycan biosynthesis
ko00561	Glycerolipid metabolism
ko00562	Inositol phosphate metabolism
ko00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
ko00564	Glycerophospholipid metabolism
ko00565	Ether lipid metabolism
ko00590	Arachidonic acid metabolism
ko00591	Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism
ko00600	Sphingolipid metabolism
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	Glycosphingolipid biosynthesis - globo series
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko00620	Pyruvate metabolism
ko00621	Dioxin degradation
ko00622	Xylene degradation
ko00623	Toluene degradation
ko00624	Polycyclic aromatic hydrocarbon degradation
ko00625	Chloroalkane and chloroalkene degradation
ko00626	Naphthalene degradation
ko00627	Aminobenzoate degradation
ko00630	Glyoxylate and dicarboxylate metabolism
ko00633	Nitrotoluene degradation
ko00640	Propanoate metabolism
ko00642	Ethylbenzene degradation
ko00643	Styrene degradation
ko00650	Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism
ko00670	One carbon pool by folate
ko00680	Methane metabolism
ko00710	Carbon fixation in photosynthetic organisms
ko00720	Carbon fixation pathways in prokaryotes
ko00730	Thiamine metabolism
ko00740	Riboflavin metabolism
ko00750	Vitamin B6 metabolism
ko00760	Nicotinate and nicotinamide metabolism
ko00770	Pantothenate and CoA biosynthesis
ko00780	Biotin metabolism
ko00785	Lipoic acid metabolism
ko00790	Folate biosynthesis
ko00791	Atrazine degradation
ko00830	Retinol metabolism
ko00860	Porphyrin and chlorophyll metabolism
ko00900	Terpenoid backbone biosynthesis
ko00901	Indole alkaloid biosynthesis
ko00902	Monoterpenoid biosynthesis
ko00903	Limonene and pinene degradation
ko00904	Diterpenoid biosynthesis
